鸇	鹯
箋	笺
蠻	蛮
傴	伛
辤	辞
驘	骡
襲	袭
問	问
駐	驻
內	内
剄	刭
競	竞
餘	余
羅	罗
穌	稣
驄	骢
蘄	蕲
壼	壸
幹	干
擴	扩
嚳	喾
許	许
詢	询
鈿	钿
窮	穷
斬	斩
鬍	胡
縫	缝
牽	牵
軒	轩
采	采
鑹	镩
鬢	鬓
賦	赋
炤	照
衚	胡
鵪	鹌
壯	壮
噅	咴
漊	溇
燻	熏
舖	铺
莊	庄
鑽	钻
賓	宾
蔭	荫
鱤	鳡
軺	轺
駕	驾
縭	缡
惡	恶
踴	踊
壞	坏
鈞	钧
鋩	铓
戧	戗
薊	蓟
鏰	镚
鏡	镜
寶	宝
鑭	镧
聳	耸
鏤	镂
匯	汇
堝	埚
巒	峦
謝	谢
績	绩
蓯	苁
復	复
賬	账
氊	毡
滌	涤
种	种
誅	诛
筆	笔
殰	㱩
備	备
綸	纶
卻	却
紮	扎
繃	绷
燴	烩
驚	惊
簀	箦
剛	刚
摶	抟
齠	龆
拋	抛
產	产
鯴	鲺
傳	传
詞	词
錛	锛
崐	昆
嚮	向
憂	忧
館	馆
鹵	卤
認	认
離	离
剗	刬
媯	妫
執	执
則	则
闆	板
齪	龊
奩	奁
聹	聍
閔	闵
驌	骕
觸	触
凍	冻
詒	诒
鹺	鹾
熒	荧
瘧	疟
絅	䌹
劚	㔉
唚	吣
旂	旗
綫	线
詡	诩
喫	吃
顔	颜
誄	诔
廝	厮
堊	垩
甕	瓮
繽	缤
凜	凛
芻	刍
羋	芈
辭	辞
靦	腼
巖	岩
吒	咤
闖	闯
釔	钇
磧	碛
鞽	鞒
鉅	钜
紖	纼
蟲	虫
驀	蓦
誒	诶
陘	陉
顒	颙
盃	杯
緍	缗
鏃	镞
壙	圹
喎	㖞
繚	缭
塊	块
頁	页
廂	厢
鯧	鲳
隂	阴
車	车
霤	溜
鎮	镇
鏽	锈
濼	泺
連	连
鮎	鲇
鈕	钮
穩	稳
貰	贳
鷽	鸴
獰	狞
銅	铜
鰓	鳃
頮	颒
帳	帐
贄	贽
傑	杰
竪	竖
揚	扬
壘	垒
紲	绁
鍠	锽
絛	绦
東	东
櫱	蘖
缽	钵
黶	黡
蹕	跸
磑	硙
線	线
賕	赇
羢	绒
鮳	鲓
螘	蚁
嘽	啴
潯	浔
竈	灶
賻	赙
襖	袄
鋥	锃
錯	错
鉑	铂
緒	绪
黨	党
嬪	嫔
欒	栾
嘜	唛
軀	躯
顛	颠
閾	阈
屭	屃
鼂	鼌
樞	枢
蘚	藓
養	养
驥	骥
燐	磷
螮	䗖
嗎	吗
頇	顸
弔	吊
闢	辟
紂	纣
頂	顶
緝	缉
鈃	钘
欑	攒
鷲	鹫
紹	绍
騷	骚
繿	䍀
喒	咱
攄	摅
紓	纾
堖	垴
鍘	铡
儼	俨
廄	厩
稱	称
嚲	亸
謠	谣
厰	厂
嶠	峤
柜	柜
鋙	铻
顯	显
鏨	錾
懾	慑
靦	䩄
煩	烦
緦	缌
崗	岗
籟	籁
華	华
愛	爱
贊	赞
斂	敛
簫	箫
磣	碜
峽	峡
謀	谋
摜	掼
遠	远
顧	顾
誶	谇
極	极
奮	奋
貢	贡
煙	烟
鉦	钲
馴	驯
嚌	哜
曖	暧
馬	马
倈	俫
咼	呙
滄	沧
櫻	樱
埰	采
飥	饦
槃	盘
鯡	鲱
燄	焰
汎	泛
繈	襁
腳	脚
魎	魉
龐	庞
獨	独
擱	搁
翬	翚
蜆	蚬
銻	锑
慙	惭
闡	阐
檟	槚
藺	蔺
舘	馆
賠	赔
鎘	镉
姪	侄
軌	轨
隴	陇
冊	册
續	续
團	团
膚	肤
鮓	鲊
諱	讳
飽	饱
釙	钋
觶	觯
頤	颐
瘻	瘘
倀	伥
鶉	鹑
撿	捡
琯	管
膠	胶
約	约
轄	辖
佘	畲
慤	悫
給	给
擄	掳
鋜	镯
鑛	矿
弒	弑
酧	酬
薺	荠
匱	匮
歛	敛
璵	玙
簡	简
逕	迳
霑	沾
璿	璇
薀	蕰
夀	寿
皸	皲
恥	耻
淪	沦
闠	阓
駢	骈
賤	贱
絳	绛
嶢	峣
銓	铨
藪	薮
鶇	鸫
討	讨
艤	舣
嶼	屿
詵	诜
澀	涩
輒	辄
樓	楼
錶	表
慍	愠
濺	溅
碼	码
簾	帘
撾	挝
贈	赠
鍥	锲
稏	䅉
儀	仪
紡	纺
晉	晋
鐙	镫
瓊	琼
冪	幂
魚	鱼
嬤	嬷
勩	勚
螿	螀
諢	诨
閑	闲
攣	挛
釘	钉
獅	狮
葷	荤
鷥	鸶
籃	篮
鞀	鼗
婦	妇
嗇	啬
睜	睁
侷	局
寢	寝
專	专
蕁	荨
鈳	钶
靭	韧
喬	乔
鑕	锧
氹	凼
藥	药
鉛	铅
鄴	邺
遜	逊
鍇	锴
鉋	铇
嵐	岚
攖	撄
絢	绚
縗	缞
鮫	鲛
籬	篱
皚	皑
煱	㶽
猙	狰
贜	赃
妝	妆
嬡	嫒
鱺	鲡
